MIMAT,name,logFC.merged,adj.P.Val.merged,TestStatistic.meta,adj.P.Val.meta,same_dir,consensus,curated
MIMAT0000263,hsa-miR-199b-5p,-0.7168198,3.802e-02,-1.8494128,0.3249684, TRUE,FALSE,white
MIMAT0000438,hsa-miR-152-3p,-0.4111473,3.970e-02,-2.1131551,0.2717631, TRUE,FALSE,white
MIMAT0004601,hsa-miR-145-3p,-0.3020068,3.970e-02,-1.9487639,0.3171653, TRUE,FALSE,white
MIMAT0000435,hsa-miR-143-3p,-0.5090230,4.109e-02,-1.7804485,0.3577117, TRUE,FALSE,white
MIMAT0000720,hsa-miR-376c-3p,-0.4865857,4.109e-02,-1.5246514,0.4097757, TRUE,FALSE,white
MIMAT0005949,hsa-miR-664,-0.1453003,4.169e-02,-2.2491563,0.2634967, TRUE,FALSE,rejected
MIMAT0000452,hsa-miR-154-5p,-0.2335710,4.525e-02,-1.8704345,0.3249684, TRUE,FALSE,white
MIMAT0000736,hsa-miR-381-3p,-0.3372094,4.772e-02,-1.6695031,0.3644168, TRUE,FALSE,white
MIMAT0004814,hsa-miR-654-3p,-0.2911549,4.772e-02,-1.6618259,0.3644168, TRUE,FALSE,white
MIMAT0000436,hsa-miR-144-3p,-0.6684831,4.898e-02,-1.9898246,0.3012614, TRUE,FALSE,white
MIMAT0000082,hsa-miR-26a-5p,-0.4134964,5.097e-02,-1.8448209,0.3249684, TRUE,FALSE,white
MIMAT0002876,hsa-miR-505-3p, 0.2321749,5.097e-02, 0.9602900,0.6516858, TRUE,FALSE,white
MIMAT0003237,hsa-miR-572,-0.3615490,5.325e-02,-0.0389259,0.9946001, TRUE,FALSE,rejected
MIMAT0000461,hsa-miR-195-5p,-0.6946427,5.631e-02,-1.7126549,0.3644168, TRUE,FALSE,white
MIMAT0000420,hsa-miR-30b-5p,-0.4492871,5.875e-02,-1.6187660,0.3777955, TRUE,FALSE,white
MIMAT0003308,hsa-miR-638,-0.5573800,6.730e-02,-0.0230480,0.9966559, TRUE,FALSE,rejected
MIMAT0000737,hsa-miR-382-5p,-0.2011139,7.878e-02,-1.5545726,0.4097757, TRUE,FALSE,white
