MIMAT,name,logFC.merged,adj.P.Val.merged,TestStatistic.meta,adj.P.Val.meta,same_dir,consensus,curated
MIMAT0002872,hsa-miR-501-5p,-0.114105,7.309e-02,-1.245759,4.842e-01, TRUE,FALSE,white
MIMAT0004605,hsa-miR-129-3p,-0.139002,7.309e-02,-3.714959,6.732e-03, TRUE,FALSE,white
MIMAT0004689,hsa-miR-377-5p,-0.100898,7.309e-02,-3.298920,1.499e-02, TRUE,FALSE,white
MIMAT0000757,hsa-miR-151-3p, 0.387196,7.689e-02, 1.931360,1.995e-01, TRUE,FALSE,white
MIMAT0003228,hsa-miR-564,-0.084498,8.198e-02, 0.488838,7.993e-01,FALSE,FALSE,rejected
MIMAT0000443,hsa-miR-125a-5p, 0.426917,8.263e-02, 2.652378,6.230e-02, TRUE,FALSE,white
MIMAT0000689,hsa-miR-99b-5p, 0.423640,8.294e-02, 2.059098,1.585e-01, TRUE,FALSE,white
MIMAT0000431,hsa-miR-140-5p,-0.407975,8.387e-02,-2.320496,1.077e-01, TRUE,FALSE,white
MIMAT0000267,hsa-miR-210-3p, 0.627787,9.154e-02, 1.878613,2.075e-01, TRUE,FALSE,white
MIMAT0004600,hsa-miR-144-5p,-0.322866,9.154e-02,-2.845299,3.989e-02, TRUE,FALSE,white
MIMAT0005911,hsa-miR-1260,-0.362835,9.154e-02,-0.395506,8.323e-01, TRUE,FALSE,rejected
MIMAT0000074,hsa-miR-19b-3p,-0.351947,9.285e-02,-0.873857,6.593e-01, TRUE,FALSE,white
MIMAT0000445,hsa-miR-126-3p,-0.562497,9.711e-02,-1.988899,1.807e-01, TRUE,FALSE,white
MIMAT0002177,hsa-miR-486-5p,-0.444482,9.711e-02,-3.371809,1.319e-02, TRUE,FALSE,white
MIMAT0001631,hsa-miR-451,-0.977520,1.004e-01,-2.395584,9.994e-02, TRUE,FALSE,yellow
MIMAT0004601,hsa-miR-145-3p,-0.248983,1.004e-01,-2.118779,1.482e-01, TRUE,FALSE,white
MIMAT0004951,hsa-miR-887-3p, 0.261817,1.004e-01, 1.046762,5.752e-01, TRUE,FALSE,white
MIMAT0005898,hsa-miR-1246,-0.713657,1.004e-01,-2.060692,1.585e-01, TRUE,FALSE,rejected
MIMAT0002816,hsa-miR-494-3p,-0.798304,1.023e-01,-0.513530,7.965e-01, TRUE,FALSE,white
MIMAT0003308,hsa-miR-638,-0.502439,1.074e-01, 0.017277,9.900e-01,FALSE,FALSE,rejected
MIMAT0005796,hsa-miR-1271-5p,-0.155631,1.077e-01,-2.138578,1.462e-01, TRUE,FALSE,white
MIMAT0002814,hsa-miR-432-5p,-0.143634,1.174e-01,-2.839708,3.989e-02, TRUE,FALSE,white
MIMAT0000425,hsa-miR-130a-3p,-0.404774,1.178e-01,-2.325238,1.077e-01, TRUE,FALSE,white
MIMAT0000737,hsa-miR-382-5p,-0.175501,1.373e-01,-2.156389,1.462e-01, TRUE,FALSE,white
MIMAT0000760,hsa-miR-331-3p, 0.270029,1.373e-01, 1.257519,4.842e-01, TRUE,FALSE,white
MIMAT0003879,hsa-miR-758-3p,-0.168819,1.373e-01,-2.322261,1.077e-01, TRUE,FALSE,white
MIMAT0000433,hsa-miR-142-5p,-0.495429,1.385e-01,-2.436249,9.832e-02, TRUE,FALSE,white
MIMAT0004606,hsa-miR-136-3p,-0.168908,1.398e-01,-1.731153,2.763e-01, TRUE,FALSE,white
MIMAT0000617,hsa-miR-200c-3p, 0.452967,1.481e-01, 2.229001,1.291e-01, TRUE,FALSE,white
MIMAT0000095,hsa-miR-96-5p, 0.611128,1.580e-01, 2.088881,1.520e-01, TRUE,FALSE,white
MIMAT0000068,hsa-miR-15a-5p, 0.390122,1.612e-01, 1.062363,5.655e-01, TRUE,FALSE,white
MIMAT0000080,hsa-miR-24-3p, 0.220567,1.612e-01,-0.238902,9.032e-01,FALSE,FALSE,white
MIMAT0000245,hsa-miR-30d-5p, 0.401576,1.612e-01, 1.322682,4.562e-01, TRUE,FALSE,white
MIMAT0000252,hsa-miR-7-5p, 0.559695,1.612e-01, 1.923514,2.003e-01, TRUE,FALSE,white
MIMAT0000434,hsa-miR-142-3p,-0.626372,1.612e-01,-1.910590,2.035e-01, TRUE,FALSE,white
MIMAT0000733,hsa-miR-379-5p,-0.257911,1.645e-01,-1.872652,2.076e-01, TRUE,FALSE,white
MIMAT0001638,hsa-miR-409-5p,-0.112452,1.682e-01,-2.249951,1.246e-01, TRUE,FALSE,white
MIMAT0004674,hsa-miR-30c-1-3p,-0.087403,1.682e-01,-2.100938,1.499e-01, TRUE,FALSE,white
MIMAT0000081,hsa-miR-25-3p, 0.251190,1.730e-01, 1.294700,4.708e-01, TRUE,FALSE,white
MIMAT0000432,hsa-miR-141-3p, 0.496705,1.749e-01, 2.333538,1.077e-01, TRUE,FALSE,white
MIMAT0004795,hsa-miR-574-5p,-0.374067,1.749e-01,-0.642185,7.541e-01, TRUE,FALSE,white
MIMAT0005939,hsa-miR-1281,-0.075934,1.749e-01,-1.495309,3.804e-01, TRUE,FALSE,rejected
MIMAT0000099,hsa-miR-101-3p,-0.314494,1.811e-01,-1.481735,3.821e-01, TRUE,FALSE,white
MIMAT0000710,hsa-miR-365a-3p, 0.350260,1.914e-01, 1.505640,3.804e-01, TRUE,FALSE,white
MIMAT0000728,hsa-miR-375, 0.697274,1.914e-01, 1.623566,3.296e-01, TRUE,FALSE,white
MIMAT0004697,hsa-miR-151-5p, 0.333488,1.914e-01, 1.221431,4.877e-01, TRUE,FALSE,white
MIMAT0004767,hsa-miR-193b-5p, 0.129032,1.914e-01, 1.361006,4.421e-01, TRUE,FALSE,white
MIMAT0002809,hsa-miR-146b-5p,-0.408493,2.078e-01,-1.567574,3.559e-01, TRUE,FALSE,white
MIMAT0000086,hsa-miR-29a-3p,-0.237137,2.099e-01,-2.472520,9.116e-02, TRUE,FALSE,white
MIMAT0001639,hsa-miR-409-3p,-0.160203,2.099e-01,-1.985832,1.807e-01, TRUE,FALSE,white
MIMAT0004695,hsa-miR-337-5p,-0.174235,2.099e-01,-1.409083,4.167e-01, TRUE,FALSE,white
MIMAT0000435,hsa-miR-143-3p,-0.331929,2.105e-01,-1.436109,4.070e-01, TRUE,FALSE,white
MIMAT0004558,hsa-miR-181a-2-3p,-0.136923,2.145e-01,-1.344746,4.468e-01, TRUE,FALSE,white
MIMAT0005948,hsa-miR-664*, 0.196638,2.145e-01, 2.133066,1.462e-01, TRUE,FALSE,rejected
MIMAT0002176,hsa-miR-485-3p,-0.057094,2.146e-01,-1.895600,2.075e-01, TRUE,FALSE,white
MIMAT0000691,hsa-miR-130b-3p, 0.254453,2.251e-01, 0.973584,6.078e-01, TRUE,FALSE,white
MIMAT0003237,hsa-miR-572,-0.241421,2.251e-01, 0.309607,8.720e-01,FALSE,FALSE,rejected
MIMAT0000065,hsa-let-7d-5p, 0.364731,2.297e-01, 1.257781,4.842e-01, TRUE,FALSE,white
MIMAT0000256,hsa-miR-181a-5p, 0.331335,2.297e-01, 0.787605,6.820e-01, TRUE,FALSE,white
MIMAT0002890,hsa-miR-299-5p,-0.199139,2.297e-01,-1.669744,3.069e-01, TRUE,FALSE,white
MIMAT0004954,hsa-miR-543,-0.061769,2.327e-01,-1.975282,1.826e-01, TRUE,FALSE,white
MIMAT0003330,hsa-miR-654-5p,-0.046339,2.425e-01,-0.836979,6.668e-01, TRUE,FALSE,white
MIMAT0002171,hsa-miR-410-3p,-0.146103,2.456e-01,-1.324497,4.562e-01, TRUE,FALSE,white
MIMAT0003163,hsa-miR-539-5p,-0.099780,2.474e-01,-1.523636,3.716e-01, TRUE,FALSE,white
MIMAT0000281,hsa-miR-224-5p,-0.413710,2.514e-01,-1.849515,2.160e-01, TRUE,FALSE,white
MIMAT0000279,hsa-miR-222-3p,-0.378931,2.525e-01,-2.140508,1.462e-01, TRUE,FALSE,white
MIMAT0000062,hsa-let-7a-5p, 0.449904,2.531e-01, 1.208827,4.925e-01, TRUE,FALSE,white
MIMAT0000446,hsa-miR-127-3p,-0.280178,2.531e-01,-1.571568,3.559e-01, TRUE,FALSE,white
