MIMAT,name,logFC.merged,adj.P.Val.merged,TestStatistic.meta,adj.P.Val.meta,same_dir,consensus,curated
MIMAT0002177,hsa-miR-486-5p,-3.955e-01,1.738e-01,-2.940137,0.066041, TRUE,FALSE,white
MIMAT0000434,hsa-miR-142-3p,-6.306e-01,1.920e-01,-2.402542,0.143821, TRUE,FALSE,white
MIMAT0002819,hsa-miR-193b-3p, 3.386e-01,1.920e-01, 1.835197,0.255308, TRUE,FALSE,white
MIMAT0000254,hsa-miR-10b-5p, 5.547e-01,1.951e-01, 1.913211,0.223728, TRUE,FALSE,white
MIMAT0000436,hsa-miR-144-3p,-5.041e-01,1.951e-01,-2.008890,0.207113, TRUE,FALSE,white
MIMAT0002888,hsa-miR-532-5p,-2.336e-01,2.094e-01,-2.579070,0.114107, TRUE,FALSE,white
MIMAT0004594,hsa-miR-132-5p, 1.462e-01,2.106e-01, 2.280873,0.161261, TRUE,FALSE,white
MIMAT0004775,hsa-miR-502-3p,-1.615e-01,2.121e-01,-2.658386,0.099726, TRUE,FALSE,white
MIMAT0000073,hsa-miR-19a-3p,-3.348e-01,2.489e-01,-1.531058,0.362230, TRUE,FALSE,white
MIMAT0000681,hsa-miR-29c-3p, 3.126e-01,2.489e-01, 2.772352,0.081933, TRUE,FALSE,white
MIMAT0005929,hsa-miR-1275,-3.688e-01,2.489e-01,-1.622772,0.351001, TRUE,FALSE,rejected
MIMAT0003266,hsa-miR-598-3p, 1.768e-01,2.759e-01, 1.532966,0.362230, TRUE,FALSE,rejected
MIMAT0000461,hsa-miR-195-5p, 4.763e-01,2.835e-01, 1.588240,0.354065, TRUE,FALSE,white
MIMAT0001627,hsa-miR-433-3p,-3.623e-02,2.835e-01,-2.381681,0.147321, TRUE,FALSE,white
MIMAT0004780,hsa-miR-532-3p,-1.343e-01,2.840e-01,-2.271377,0.161261, TRUE,FALSE,white
MIMAT0002820,hsa-miR-497-5p, 2.829e-01,2.870e-01, 0.626998,0.774284, TRUE,FALSE,white
MIMAT0000449,hsa-miR-146a-5p,-3.796e-01,2.915e-01,-2.182931,0.181924, TRUE,FALSE,white
MIMAT0004484,hsa-let-7d-3p, 4.374e-02,2.958e-01, 1.752786,0.289100, TRUE,FALSE,white
MIMAT0001412,hsa-miR-18b-5p,-2.094e-01,3.001e-01,-2.039743,0.203049, TRUE,FALSE,white
MIMAT0000072,hsa-miR-18a-5p,-2.329e-01,3.009e-01,-2.176476,0.181924, TRUE,FALSE,white
MIMAT0000258,hsa-miR-181c-5p, 2.695e-01,3.009e-01, 1.333960,0.447106, TRUE,FALSE,white
MIMAT0000760,hsa-miR-331-3p, 2.153e-01,3.009e-01, 0.499294,0.826855, TRUE,FALSE,white
MIMAT0004571,hsa-miR-200b-5p, 2.436e-01,3.175e-01, 1.297903,0.447783, TRUE,FALSE,white
MIMAT0000280,hsa-miR-223-3p,-4.396e-01,3.220e-01,-2.323451,0.157813, TRUE,FALSE,white
MIMAT0000686,hsa-miR-34c-5p, 2.416e-01,3.220e-01, 1.472678,0.393360, TRUE,FALSE,white
MIMAT0003888,hsa-miR-766-3p,-8.844e-02,3.220e-01,-1.299477,0.447783, TRUE,FALSE,purple
