MIMATID,name,DCIS-normal,invasive-DCIS,Normallike-DCIS,LumA-DCIS,LumB-DCIS,Her2-DCIS,Basallike-DCIS,HER2neg_ERneg_PGRneg-DCIS,HER2neg_ERpos-DCIS,HER2pos_ERneg-DCIS,HER2pos_ERpos-DCIS
MIMAT0004605,MIMAT0004605,,,,,,,,,,,
MIMAT0002874,MIMAT0002874,,,,,,,,,,,
MIMAT0003294,MIMAT0003294,,,,,,,,,,,
MIMAT0003150,MIMAT0003150,,,,,,,,,,,
MIMAT0002813,MIMAT0002813,,,,,,,,,,,
MIMAT0004674,MIMAT0004674,,,,,,,,,,,
MIMAT0000727,MIMAT0000727,,,,,,,,,,,
MIMAT0000446,MIMAT0000446,,,,,,,,,,,
MIMAT0000414,MIMAT0000414,,,,,,,,,,,
MIMAT0004945,MIMAT0004945,,,,,,,,,,,
MIMAT0001341,MIMAT0001341,,,,,,,,,,,
MIMAT0005796,MIMAT0005796,,,,,,,,,,,
MIMAT0001413,MIMAT0001413,,,,,,,,,,,
MIMAT0003338,MIMAT0003338,,,,,,,,,,,
MIMAT0003888,MIMAT0003888,,,,,,,,,,,
MIMAT0004568,MIMAT0004568,,,,,,,,,,,
MIMAT0000082,MIMAT0000082,,,,,,,,,,,
MIMAT0000244,MIMAT0000244,,,,,,,,,,DOWN,
MIMAT0000069,MIMAT0000069,,,,,,,,,,,
MIMAT0004689,MIMAT0004689,,,,,,,,,,,
MIMAT0000100,MIMAT0000100,,,,,,,,,,,
MIMAT0000255,MIMAT0000255,,,,,,,,,,,
MIMAT0004606,MIMAT0004606,,,,,,,,,,,
MIMAT0003945,MIMAT0003945,,,,,,,,,,,
MIMAT0002890,MIMAT0002890,,,,,,,,,,,
MIMAT0003228,MIMAT0003228,,,,,,,,,,,
MIMAT0003326,MIMAT0003326,,,,,,,,,,UP,
MIMAT0002805,MIMAT0002805,,,,,,,,,,,
MIMAT0005949,MIMAT0005949,,,,,,,,,,,
MIMAT0000730,MIMAT0000730,,,,,DOWN,,,,,,
MIMAT0003299,MIMAT0003299,,,,,,,,,,,
MIMAT0004504,MIMAT0004504,,,,,DOWN,,,,,,
MIMAT0004600,MIMAT0004600,,,,,,,,,,,
MIMAT0004695,MIMAT0004695,,,,,,,,,,,
MIMAT0003258,MIMAT0003258,,,,,,,,,,,
MIMAT0004982,MIMAT0004982,,,,,,,,,,,
MIMAT0000460,MIMAT0000460,,,,,,,,,,,
MIMAT0000083,MIMAT0000083,,,,,,,,,,,
MIMAT0004774,MIMAT0004774,,,,,,,,,,,
MIMAT0003239,MIMAT0003239,,,,,,,,,,,
MIMAT0000096,MIMAT0000096,,,,,,,,,,,
MIMAT0005593,MIMAT0005593,,,,,,,,,,,
MIMAT0004814,MIMAT0004814,,,,,,,,,,,
MIMAT0000075,MIMAT0000075,,,,,,,,,,,
MIMAT0000104,MIMAT0000104,,,,,,,,,,,
MIMAT0000080,MIMAT0000080,,,,,,,,,,,
MIMAT0000253,MIMAT0000253,,,,,,,,,,,
MIMAT0000420,MIMAT0000420,,,,,,,,,,,
MIMAT0002888,MIMAT0002888,,,,,,,,,,,
