miRNA	ID
aca-let-7a	MI0018701_MIMAT0021692
aca-let-7a*	MIMAT0021693
aca-let-7a-3p	MIMAT0021693
aca-let-7a-5p	MIMAT0021692
aca-let-7b	MI0018702_MIMAT0021694
aca-let-7b*	MIMAT0021695
aca-let-7b-3p	MIMAT0021695
aca-let-7b-5p	MIMAT0021694
aca-let-7c	MIMAT0021696
aca-let-7c-1	MI0018703
aca-let-7c-1*	MIMAT0021697
aca-let-7c-1-3p	MIMAT0021697
aca-let-7c-2	MI0018704
aca-let-7c-2*	MIMAT0021698
aca-let-7c-2-3p	MIMAT0021698
aca-let-7c-5p	MIMAT0021696
aca-let-7d	MI0018705_MIMAT0021699
aca-let-7d*	MIMAT0021700
aca-let-7d-3p	MIMAT0021700
aca-let-7d-5p	MIMAT0021699
aca-let-7e	MI0018706_MIMAT0021701
aca-let-7e*	MIMAT0021702
aca-let-7e-3p	MIMAT0021702
aca-let-7e-5p	MIMAT0021701
aca-let-7f	MIMAT0021703
aca-let-7f-1	MI0018707
aca-let-7f-1*	MIMAT0021704
aca-let-7f-1-3p	MIMAT0021704
aca-let-7f-2	MI0018708
aca-let-7f-2*	MIMAT0021705
aca-let-7f-2-3p	MIMAT0021705
aca-let-7f-5p	MIMAT0021703
aca-let-7g	MI0018709_MIMAT0021706
aca-let-7i	MI0018710_MIMAT0021707
aca-let-7i*	MIMAT0021708
aca-let-7i-3p	MIMAT0021708
aca-let-7i-5p	MIMAT0021707
aca-mir-100	MI0018711
aca-miR-100	MIMAT0021709
aca-miR-101	MIMAT0021711
aca-mir-101-1	MI0018712
aca-miR-101-1*	MIMAT0021710
aca-miR-101-1-5p	MIMAT0021710
aca-mir-101-2	MI0018713
aca-miR-101-2*	MIMAT0021712
aca-miR-101-2-5p	MIMAT0021712
aca-miR-101-3p	MIMAT0021711
aca-mir-103	MI0018715
aca-miR-103	MIMAT0021716
aca-miR-103*	MIMAT0021715
aca-miR-103-3p	MIMAT0021716
aca-miR-103-5p	MIMAT0021715
aca-mir-107	MI0018714
aca-miR-107	MIMAT0021714
aca-miR-107*	MIMAT0021713
aca-miR-107-3p	MIMAT0021714
aca-miR-107-5p	MIMAT0021713
aca-mir-10a	MI0018716
aca-miR-10a	MIMAT0021717
aca-miR-10a*	MIMAT0021718
aca-miR-10a-3p	MIMAT0021718
aca-miR-10a-5p	MIMAT0021717
aca-mir-10b	MI0018717
aca-miR-10b	MIMAT0021719
aca-miR-10b*	MIMAT0021720
aca-miR-10b-3p	MIMAT0021720
aca-miR-10b-5p	MIMAT0021719
aca-mir-10c	MI0018718
aca-miR-10c	MIMAT0021721
aca-miR-10c*	MIMAT0021722
aca-miR-10c-3p	MIMAT0021722
aca-miR-10c-5p	MIMAT0021721
aca-mir-122	MI0018719
aca-miR-122	MIMAT0021723
aca-miR-122*	MIMAT0021724
aca-miR-122-3p	MIMAT0021724
aca-miR-122-5p	MIMAT0021723
aca-miR-124a	MIMAT0021725
aca-mir-124a-1	MI0018720
aca-mir-124a-2	MI0018721
aca-mir-124a-3	MI0018722
aca-mir-124b	MI0018723
aca-miR-124b	MIMAT0021726
aca-mir-125a	MI0018724
aca-miR-125a	MIMAT0021727
aca-miR-125a*	MIMAT0021728
aca-miR-125a-3p	MIMAT0021728
aca-miR-125a-5p	MIMAT0021727
aca-miR-125b	MIMAT0021729
aca-mir-125b-1	MI0018725
aca-mir-125b-2	MI0018726
aca-mir-126	MI0018727
aca-miR-126	MIMAT0021731
aca-miR-126*	MIMAT0021730
aca-miR-126-3p	MIMAT0021731
aca-miR-126-5p	MIMAT0021730
aca-miR-128	MIMAT0021733
aca-miR-128*	MIMAT0021732
aca-mir-128-1	MI0018728
aca-mir-128-2	MI0018729
aca-miR-128-3p	MIMAT0021733
aca-miR-128-5p	MIMAT0021732
aca-mir-129a	MI0018730
aca-miR-129a	MIMAT0021734
aca-miR-129a*	MIMAT0021735
aca-miR-129a-3p	MIMAT0021735
aca-miR-129a-5p	MIMAT0021734
aca-mir-129b	MI0018731
aca-miR-129b	MIMAT0021736
aca-miR-129b*	MIMAT0021737
aca-miR-129b-3p	MIMAT0021737
aca-miR-129b-5p	MIMAT0021736
aca-mir-1306	MI0018732
aca-miR-1306	MIMAT0021738
aca-miR-130a	MIMAT0021740
aca-mir-130a-1	MI0018733
aca-miR-130a-1*	MIMAT0021739
aca-miR-130a-1-5p	MIMAT0021739
aca-mir-130a-2	MI0018734
aca-miR-130a-2*	MIMAT0021741
aca-miR-130a-2-5p	MIMAT0021741
aca-miR-130a-3p	MIMAT0021740
aca-mir-130b	MI0018735
aca-miR-130b	MIMAT0021743
aca-miR-130b*	MIMAT0021742
aca-miR-130b-3p	MIMAT0021743
aca-miR-130b-5p	MIMAT0021742
aca-mir-130c	MI0018736
aca-miR-130c	MIMAT0021744
aca-mir-132	MI0018737
aca-miR-132	MIMAT0021746
