miRNA	status	mi-acc	5p-acc	3p-acc	div
mir-181a-1	white	MI0000289	MIMAT0000256	MIMAT0000270	
mir-181a-2	white	MI0000269	MIMAT0000256	MIMAT0004558	
mir-181b-1	white	MI0000270	MIMAT0000257	MIMAT0022692	
mir-181b-2	white	MI0000683	MIMAT0000257	MIMAT0031893	
mir-181c	white	MI0000271	MIMAT0000258	MIMAT0004559	
mir-181d	white	MI0003139	MIMAT0002821	MIMAT0026608	
mir-182	white	MI0000272	MIMAT0000259	MIMAT0000260	
mir-183	white	MI0000273	MIMAT0000261	MIMAT0004560	
mir-184	white	MI0000481			MIMAT0000454
mir-185	white	MI0000482	MIMAT0000455	MIMAT0004611	
mir-186	white	MI0000483	MIMAT0000456	MIMAT0004612	
mir-187	white	MI0000274	MIMAT0004561	MIMAT0000262	
mir-188	white	MI0000484	MIMAT0000457	MIMAT0004613	
mir-190a	white	MI0000486	MIMAT0000458	MIMAT0026482	
mir-190b	white	MI0005545			MIMAT0004929
mir-191	white	MI0000465	MIMAT0000440	MIMAT0001618	
mir-192	white	MI0000234	MIMAT0000222	MIMAT0004543	
mir-193a	white	MI0000487	MIMAT0004614	MIMAT0000459	
mir-193b	white	MI0003137	MIMAT0004767	MIMAT0002819	
mir-194-1	white	MI0000488	MIMAT0000460		
mir-194-2	white	MI0000732	MIMAT0000460	MIMAT0004671	
mir-195	white	MI0000489	MIMAT0000461	MIMAT0004615	
mir-196a-1	white	MI0000238	MIMAT0000226		
mir-196a-2	white	MI0000279	MIMAT0000226	MIMAT0004562	
mir-196b	white	MI0001150	MIMAT0001080	MIMAT0009201	
mir-197	white	MI0000239	MIMAT0022691	MIMAT0000227	
mir-199a-1	white	MI0000242	MIMAT0000231	MIMAT0000232	
mir-199a-2	white	MI0000281	MIMAT0000231	MIMAT0000232	
mir-199b	white	MI0000282	MIMAT0000263	MIMAT0004563	
mir-200a	white	MI0000737	MIMAT0001620	MIMAT0000682	
mir-200b	white	MI0000342	MIMAT0004571	MIMAT0000318	
mir-200c	white	MI0000650	MIMAT0004657	MIMAT0000617	
mir-202	white	MI0003130	MIMAT0002810	MIMAT0002811	
mir-203a	white	MI0000283	MIMAT0031890	MIMAT0000264	
mir-204	white	MI0000284	MIMAT0000265	MIMAT0022693	
mir-205	white	MI0000285	MIMAT0000266	MIMAT0009197	
mir-206	white	MI0000490			MIMAT0000462
mir-208a	white	MI0000251	MIMAT0026474	MIMAT0000241	
mir-208b	white	MI0005570	MIMAT0026722	MIMAT0004960	
mir-210	white	MI0000286	MIMAT0026475	MIMAT0000267	
mir-211	white	MI0000287	MIMAT0000268	MIMAT0022694	
mir-212	white	MI0000288	MIMAT0022695	MIMAT0000269	
mir-214	white	MI0000290	MIMAT0004564	MIMAT0000271	
mir-215	white	MI0000291	MIMAT0000272	MIMAT0026476	
mir-216a	white	MI0000292	MIMAT0000273	MIMAT0022844	
mir-216b	white	MI0005569	MIMAT0004959	MIMAT0026721	
mir-217	white	MI0000293			MIMAT0000274
mir-218-1	white	MI0000294	MIMAT0000275	MIMAT0004565	
mir-218-2	white	MI0000295	MIMAT0000275	MIMAT0004566	
mir-219a-1	white	MI0000296	MIMAT0000276	MIMAT0004567	
mir-219a-2	white	MI0000740	MIMAT0000276	MIMAT0004675	
mir-221	white	MI0000298	MIMAT0004568	MIMAT0000278	
mir-222	white	MI0000299	MIMAT0004569	MIMAT0000279	
mir-223	white	MI0000300	MIMAT0004570	MIMAT0000280	
mir-224	white	MI0000301	MIMAT0000281	MIMAT0009198	
mir-296	white	MI0000747	MIMAT0000690	MIMAT0004679	
mir-299	white	MI0000744	MIMAT0002890	MIMAT0000687	
mir-301a	white	MI0000745	MIMAT0022696	MIMAT0000688	
mir-301b	white	MI0005568	MIMAT0032026	MIMAT0004958	
mir-302a	white	MI0000738	MIMAT0000683	MIMAT0000684	
mir-302b	white	MI0000772	MIMAT0000714	MIMAT0000715	
mir-302c	white	MI0000773	MIMAT0000716	MIMAT0000717	
mir-302d	white	MI0000774	MIMAT0004685	MIMAT0000718	
mir-323a	white	MI0000807	MIMAT0004696	MIMAT0000755	
mir-324	white	MI0000813	MIMAT0000761	MIMAT0000762	
mir-325	white	MI0000824			MIMAT0000771
mir-326	white	MI0000808			MIMAT0000756
mir-328	white	MI0000804	MIMAT0026486	MIMAT0000752	
mir-329-1	white	MI0001725	MIMAT0026555	MIMAT0001629	
mir-329-2	white	MI0001726	MIMAT0026555	MIMAT0001629	
mir-330	white	MI0000803	MIMAT0004693	MIMAT0000751	
mir-331	white	MI0000812	MIMAT0004700	MIMAT0000760	
mir-335	white	MI0000816	MIMAT0000765	MIMAT0004703	
mir-337	white	MI0000806	MIMAT0004695	MIMAT0000754	
mir-338	white	MI0000814	MIMAT0004701	MIMAT0000763	
mir-339	white	MI0000815	MIMAT0000764	MIMAT0004702	
mir-340	white	MI0000802	MIMAT0004692	MIMAT0000750	
