name	MIMAT	curated	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-101-3p	MIMAT0000099	white	-0.466764835164831	9.17550428015564	-1.9982101930532	0.0459057379546043	0.160066059973291	-4.37189837987297
hsa-miR-134-5p	MIMAT0000447	white	0.245662637362635	7.21583657587549	1.98954133833919	0.0468546139973309	0.161252892328477	-4.38857216628429
hsa-miR-150-5p	MIMAT0000451	white	-0.96303956043956	11.0465167315175	-1.98210258273475	0.0476819669167252	0.161996426063233	-4.40282253983252
hsa-miR-765	MIMAT0003945	rejected	0.275838461538459	6.86242645914397	1.96658134680465	0.0494479072996182	0.164927526276239	-4.43238565826418
hsa-let-7i-5p	MIMAT0000415	white	-0.381789010989017	13.3244256809339	-1.96363342982982	0.0497894418947137	0.164927526276239	-4.43797442357851
hsa-miR-136-3p	MIMAT0004606	white	-0.221564835164837	6.79607937743191	-1.94390256284099	0.0521267344255851	0.169638613198555	-4.47516638121707
hsa-miR-205-5p	MIMAT0000266	white	-1.08902417582417	10.0846038910506	-1.93766900219238	0.0528839861121588	0.169638613198555	-4.48683881507009
hsa-miR-125a-5p	MIMAT0000443	white	0.478725274725274	9.78780622568093	1.93564286703014	0.0531320939452078	0.169638613198555	-4.49062475858868
hsa-miR-939-5p	MIMAT0004982	rejected	0.372790109890114	7.5698233463035	1.92320777824438	0.0546762298807275	0.169699968149662	-4.51377416693803
hsa-miR-539-5p	MIMAT0003163	white	-0.162134065934066	6.61341789883268	-1.92293754373341	0.0547101981158132	0.169699968149662	-4.51427559441441
hsa-miR-150-3p	MIMAT0004610	white	0.250926373626375	7.31455642023346	1.9184527115354	0.0552765151261724	0.169699968149662	-4.52258709534793
hsa-miR-423-5p	MIMAT0004748	white	0.230847252747256	7.60769961089494	1.90873930527792	0.0565198466060578	0.169699968149662	-4.54052229310489
hsa-miR-95-3p	MIMAT0000094	white	-0.397669230769229	7.13752140077821	-1.90787647426807	0.0566314085893391	0.169699968149662	-4.54211107998106
hsa-miR-485-5p	MIMAT0002175	white	-0.0936340659340642	6.36405214007782	-1.90466447204185	0.057048326870948	0.169699968149662	-4.54801927109312
hsa-miR-15b-5p	MIMAT0000417	white	0.357152747252748	13.0394856031128	1.89904736683342	0.0577835711810489	0.169699968149662	-4.5583276467933
hsa-miR-542-5p	MIMAT0003340	white	-0.371910989010987	7.59227392996109	-1.89533110135906	0.0582743286853557	0.169699968149662	-4.56513101014379
hsa-miR-342-3p	MIMAT0000753	white	0.661806593406586	10.6810832684825	1.88679228198648	0.0594150804856525	0.171141264442369	-4.58071282141883
hsa-miR-410-3p	MIMAT0002171	white	-0.226163736263737	6.87033073929961	-1.86062666322651	0.0630267615859154	0.178056612400176	-4.62802473632763
hsa-miR-30c-5p	MIMAT0000244	white	-0.426835164835161	10.2465914396887	-1.85968748222064	0.0631597040211944	0.178056612400176	-4.62971072240215
hsa-miR-151-3p	MIMAT0000757	white	0.374902197802202	9.62780622568093	1.82245933609116	0.0686192206106943	0.191411510124568	-4.6958595609178
hsa-miR-199a-5p	MIMAT0000231	white	-0.510168131868127	8.79183657587549	-1.81740534938357	0.0693894745877356	0.191543862143228	-4.70473717581555
