MIMAT	miRNAname	FC	pval	adj.P.Val
130	MIMAT0004493	hsa-miR-20a-3p,hsa-miR-20a*	-2.74602632631325	0.00603219228795404	0.00728171783331595
39	MIMAT0000275	hsa-miR-218,hsa-miR-218-5p	-2.72384959134384	0.00645258850928587	0.00773395360332846
114	MIMAT0003221	hsa-miR-557	2.70886830541856	0.00675131321249323	0.00799051425800293
129	MIMAT0004484	hsa-let-7d-3p,hsa-let-7d*	-2.70838252412761	0.00676120437215633	0.00799051425800293
56	MIMAT0000445	hsa-miR-126,hsa-miR-126-3p	2.69596679089	0.0070184663511963	0.00823695009272343
26	MIMAT0000227	hsa-miR-197,hsa-miR-197-3p	2.66774851831263	0.00763613914104821	0.00890005182646309
85	MIMAT0000753	hsa-miR-342,hsa-miR-342-3p	-2.63798149280691	0.00834011333672158	0.00965396680757498
118	MIMAT0003258	hsa-miR-590,hsa-miR-590-5p	-2.6310229176361	0.00851282952441279	0.00978685843282831
4	MIMAT0000062	hsa-let-7a,hsa-let-7a-5p	-2.60136215755123	0.00928543722071362	0.0106029654750041
50	MIMAT0000432	hsa-miR-141,hsa-miR-141-3p	-2.58379521410519	0.00977197973872368	0.0110836548714383
135	MIMAT0004558	hsa-miR-181a-2-3p,hsa-miR-181a-2*	-2.57002649159438	0.0101690738240123	0.0114571565083872
22	MIMAT0000098	hsa-miR-100,hsa-miR-100-5p	-2.49298931552951	0.0126672657946212	0.014177270988682
46	MIMAT0000423	hsa-miR-125b,hsa-miR-125b-5p	-2.45458421435673	0.0141047622815229	0.0156822685893248
14	MIMAT0000082	hsa-miR-26a,hsa-miR-26a-5p	2.41218038104803	0.015857434061695	0.0174843135975221
169	MIMAT0005954	hsa-miR-720	-2.41045924090654	0.0159324514438959	0.0174843135975221
20	MIMAT0000093	hsa-miR-93,hsa-miR-93-5p	-2.37865921211427	0.0173757315037639	0.0189451524137813
2	MI0000433_MIMAT0000414	hsa-let-7g	-2.36388127800724	0.0180846069484	0.019515550875739
3	MI0000434_MIMAT0000415	hsa-let-7i	-2.36295580941049	0.0181298312869291	0.019515550875739
59	MIMAT0000450	hsa-miR-149,hsa-miR-149-5p	-2.32863664800634	0.0198783228694335	0.0212622567400902
17	MIMAT0000087	hsa-miR-30a	2.3161705206902	0.020548960080778	0.0217235412138002
54	MIMAT0000438	hsa-miR-152,hsa-miR-152-3p	-2.31584622647776	0.0205666662379174	0.0217235412138002
137	MIMAT0004571	hsa-miR-200b-5p,hsa-miR-200b*	-2.30016147605307	0.0214390734654937	0.0225043690414188
10	MIMAT0000075	hsa-miR-20,hsa-miR-20a,hsa-miR-20a-5p	-2.29625444980436	0.0216613368874179	0.0225973205800841
65	MIMAT0000680	hsa-miR-106b,hsa-miR-106b-5p	-2.27140975047565	0.0231221847026353	0.0239733080659225
91	MIMAT0001536	hsa-miR-429	-2.23277896778281	0.0255635239127698	0.0263032011446825
67	MIMAT0000682	hsa-miR-200a,hsa-miR-200a-3p	-2.23100737995379	0.0256806401708438	0.0263032011446825
15	MIMAT0000083	hsa-miR-26b,hsa-miR-26b-5p	-2.22631498989131	0.025993090118239	0.0264628447589301
62	MIMAT0000457	hsa-miR-188,hsa-miR-188-5p	2.22363014131843	0.0261733388937675	0.0264867920541719
19	MIMAT0000089	hsa-miR-31,hsa-miR-31-5p	-2.2021431031953	0.0276552016018288	0.0278198158970778
74	MIMAT0000703	hsa-miR-361,hsa-miR-361-5p	-2.14917372732484	0.0316206311004654	0.0316206311004654
