MIMAT	miRNAname	TestStatistic	pval	adj.P.Val
MIMAT0003239	hsa-miR-574-3p	-2.25309809120628	0.0242529648063881	0.17930544530966
MIMAT0000281	hsa-miR-224-5p	2.25192344712068	0.024327110128056	0.17930544530966
MIMAT0002820	hsa-miR-497-5p	-2.24396655921682	0.0248345530353784	0.17930544530966
MIMAT0003221	hsa-miR-557	2.23521379667343	0.0254033161520373	0.17930544530966
MIMAT0004610	hsa-miR-150-3p	2.23053835295819	0.0257117242330833	0.17930544530966
MIMAT0000720	hsa-miR-376c-3p	-2.21651699149882	0.0266561155064489	0.179375610699698
MIMAT0002819	hsa-miR-193b-3p	2.21042667969104	0.0270755638791997	0.179375610699698
MIMAT0002821	hsa-miR-181d-5p	-2.16353045502407	0.0305004039436911	0.197136757197028
MIMAT0000770	hsa-miR-133b	-2.12961994986523	0.0332030026518633	0.201580472633386
MIMAT0000729	hsa-miR-376a-3p	-2.11921075593289	0.0340726597018437	0.201580472633386
MIMAT0002173	hsa-miR-483-3p	-2.11783682854849	0.0341888891238928	0.201580472633386
MIMAT0004694	hsa-miR-342-5p	-2.11734419906403	0.0342306462962354	0.201580472633386
MIMAT0000267	hsa-miR-210-3p	2.08258997676596	0.037288613624032	0.211335420938819
MIMAT0001638	hsa-miR-409-5p	-2.0758394067609	0.0379088063731705	0.211335420938819
MIMAT0005796	hsa-miR-1271-5p	-2.07184794916686	0.0382796234153333	0.211335420938819
MIMAT0004603	hsa-miR-125b-2-3p	-2.04306713062722	0.0410457931771668	0.221982350856106
MIMAT0005949	hsa-miR-664	-1.97031095938083	0.0488027431731806	0.256468181105249
MIMAT0000681	hsa-miR-29c-3p	-1.96548588897453	0.049358027307048	0.256468181105249
MIMAT0001631	hsa-miR-451	-1.94248118764951	0.0520788751836643	0.262461674357546
MIMAT0004814	hsa-miR-654-3p	-1.93907394439223	0.0524923348715092	0.262461674357546
MIMAT0001412	hsa-miR-18b-5p	1.90682814960183	0.0565428448432055	0.272050813610216
MIMAT0000687	hsa-miR-299-3p	-1.90593010284524	0.0566592748373604	0.272050813610216
MIMAT0000226	hsa-miR-196a-5p	1.89427665778545	0.0581882976389894	0.272050813610216
MIMAT0000762	hsa-miR-324-3p	-1.89048382534364	0.0586932818029091	0.272050813610216
MIMAT0000692	hsa-miR-30e-5p	-1.88416103078833	0.059543196941104	0.272050813610216
MIMAT0000452	hsa-miR-154-5p	-1.85825250482098	0.0631331650663782	0.280151090743308
MIMAT0000093	hsa-miR-93-5p	1.85616224580041	0.0634304356399942	0.280151090743308
MIMAT0004568	hsa-miR-221-5p	-1.84813431885532	0.0645829141794727	0.280565118976398
MIMAT0000510	hsa-miR-320a	-1.80558855150759	0.070982632262508	0.303393508863946
MIMAT0000081	hsa-miR-25-3p	1.79706890454382	0.0723246815260599	0.303993189534092
MIMAT0000431	hsa-miR-140-5p	-1.78749231188444	0.0738579536090616	0.303993189534092
MIMAT0000447	hsa-miR-134-5p	1.78313477258771	0.0745643672442113	0.303993189534092
MIMAT0000703	hsa-miR-361-5p	-1.7742044798858	0.0760293334713757	0.305269293483554
MIMAT0000275	hsa-miR-218-5p	-1.75278706320052	0.0796385645746596	0.314988352422161
MIMAT0004982	hsa-miR-939-5p	1.6886323871552	0.091289900083892	0.344161358732215
MIMAT0003233	hsa-miR-551b-3p	-1.67889149156496	0.0931731930666808	0.344161358732215
MIMAT0005593	hsa-miR-1238-3p	-1.67803498189496	0.0933402700847605	0.344161358732215
MIMAT0000457	hsa-miR-188-5p	1.6745960530893	0.0940135141996747	0.344161358732215
MIMAT0000082	hsa-miR-26a-5p	-1.66934277802764	0.0950494669676272	0.344161358732215
MIMAT0000072	hsa-miR-18a-5p	1.66406839304917	0.0960987625179428	0.344161358732215
MIMAT0004589	hsa-miR-30b-3p	-1.65023758472021	0.0988943524241501	0.344161358732215
MIMAT0000086	hsa-miR-29a-3p	-1.64862116315698	0.099225270314192	0.344161358732215
MIMAT0000423	hsa-miR-125b-5p	-1.64583252936124	0.0997982430516264	0.344161358732215
MIMAT0000095	hsa-miR-96-5p	1.64212952081732	0.100563164925493	0.344161358732215
MIMAT0004571	hsa-miR-200b-5p	-1.62882190540881	0.103350726035817	0.344161358732215
MIMAT0004597	hsa-miR-140-3p	-1.62845339183698	0.103428784329491	0.344161358732215
MIMAT0004689	hsa-miR-377-5p	-1.62177798883971	0.104850893025521	0.344161358732215
MIMAT0000420	hsa-miR-30b-5p	-1.62016661513878	0.1051964907823	0.344161358732215
MIMAT0000759	hsa-miR-148b-3p	-1.6111686382506	0.107142971344138	0.346254724465811
MIMAT0000279	hsa-miR-222-3p	-1.59606786455129	0.110473642433917	0.352717051144434
MIMAT0000733	hsa-miR-379-5p	-1.57646550079047	0.114918563394593	0.362540705947227
MIMAT0004606	hsa-miR-136-3p	-1.50905381765114	0.131285030167899	0.406857733005092
MIMAT0004601	hsa-miR-145-3p	-1.49259345322578	0.135543638095469	0.406857733005092
MIMAT0003240	hsa-miR-575	1.48438047452192	0.137708011750536	0.406857733005092
MIMAT0004775	hsa-miR-502-3p	-1.4819050738391	0.138365554817705	0.406857733005092
MIMAT0002175	hsa-miR-485-5p	-1.48138164493501	0.138504903089381	0.406857733005092
MIMAT0000737	hsa-miR-382-5p	-1.47918233420097	0.139091589697949	0.406857733005092
MIMAT0002872	hsa-miR-501-5p	-1.47685910085275	0.139713410201749	0.406857733005092
MIMAT0000098	hsa-miR-100-5p	-1.46361920598667	0.143298021907049	0.412760606580087
MIMAT0000646	hsa-miR-155-5p	1.43610670828603	0.150971979536709	0.430188973948686
MIMAT0000753	hsa-miR-342-3p	-1.42624023059178	0.153799010607154	0.430212605686924
MIMAT0001639	hsa-miR-409-3p	-1.4247580219835	0.154227160529275	0.430212605686924
MIMAT0005793	hsa-miR-320c	-1.39519517898143	0.162956990435987	0.443267142986421
MIMAT0003393	hsa-miR-425-5p	1.39029571220341	0.164439099367997	0.443267142986421
MIMAT0004784	hsa-miR-455-3p	-1.38908250114546	0.164807664221119	0.443267142986421
MIMAT0000461	hsa-miR-195-5p	-1.386488092416	0.165597913794927	0.443267142986421
MIMAT0000231	hsa-miR-199a-5p	-1.37630936281536	0.168725875423694	0.445004942336519
MIMAT0005939	hsa-miR-1281	-1.37347200876255	0.169605657267881	0.445004942336519
MIMAT0004673	hsa-miR-29c-5p	-1.35616106787709	0.175047926163511	0.451956951668461
MIMAT0000691	hsa-miR-130b-3p	1.35411344351536	0.175700187858966	0.451956951668461
MIMAT0003299	hsa-miR-630	1.34889160588847	0.177371784805735	0.451956951668461
MIMAT0000442	hsa-miR-9-3p	1.28723636925468	0.198011914352944	0.499576291851259
MIMAT0000100	hsa-miR-29b-3p	-1.28203457790473	0.199830516740504	0.499576291851259
MIMAT0002890	hsa-miR-299-5p	-1.26517547940998	0.205808430340885	0.509712467666678
MIMAT0002876	hsa-miR-505-3p	-1.25325351891294	0.210113458407397	0.509994444451335
MIMAT0004911	hsa-miR-874-3p	-1.24256826670344	0.21402696967271	0.509994444451335
MIMAT0000765	hsa-miR-335-5p	-1.24231353522547	0.214120903344635	0.509994444451335
MIMAT0004695	hsa-miR-337-5p	-1.23870925747169	0.215453189102145	0.509994444451335
