	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0000269	0.127696128606023	6.53362968459972	1.72188596740887	0.0853190237035377	0.626668543760375	-5.60301119393122
MIMAT0000062	0.65908981185197	13.5383193614945	1.71534693183587	0.0865108841817006	0.626668543760375	-5.61415411086479
MIMAT0004600	-0.321402613624687	6.59380712528778	-1.70430098334625	0.0885547571347004	0.626668543760375	-5.63288120395115
MIMAT0002872	-0.106008720157178	6.40112892290352	-1.68946589726328	0.0913608599918519	0.626668543760375	-5.65784279532245
MIMAT0000755	0.0664934640412636	6.2764601792079	1.68676181620596	0.0918799744611077	0.626668543760375	-5.66236928185164
MIMAT0000451	-0.820606102876475	10.8596339424501	-1.66412484040017	0.0963193330194395	0.640523564579273	-5.69997913734459
MIMAT0000426	0.215803751364891	7.54211581880621	1.64805909724777	0.0995730150236627	0.646010292592543	-5.7263642911248
MIMAT0000255	0.306431845248753	12.9468738872592	1.58700106242265	0.112746356045244	0.675606496099948	-5.82431555488788
MIMAT0000753	0.537536111593338	10.5854264406877	1.5754259217825	0.115392238201452	0.675606496099948	-5.8424694348709
MIMAT0000101	0.284743216874087	12.7280525045066	1.57297392886805	0.115958947439013	0.675606496099948	-5.84629802548354
MIMAT0000244	0.366905782754609	10.0860392016305	1.56246541681764	0.118412534519941	0.675606496099948	-5.86263892787781
MIMAT0000067	0.710685225597915	11.1242395923436	1.55239038951654	0.120803002446421	0.675606496099948	-5.87820327742735
MIMAT0001631	-0.922071459074798	11.938828044909	-1.54618988664934	0.122292864602078	0.675606496099948	-5.88773221835912
MIMAT0000087	0.641321270757517	10.727912103996	1.53830625993735	0.124207863040026	0.675606496099948	-5.89979291201147
MIMAT0003240	-0.427885212526898	7.80989888127504	-1.52721738691287	0.12694098558489	0.675606496099948	-5.91665314231619
MIMAT0002820	0.358486591656028	9.13185068222618	1.51912384939205	0.128965248726729	0.675606496099948	-5.92888233618196
MI0000066_MIMAT0000066	0.514292029350777	12.0942500143031	1.51220277649119	0.130716105642175	0.675606496099948	-5.93928859028684
MIMAT0000231	0.448778370904467	8.70969010942691	1.49943543975181	0.133994286333688	0.675606496099948	-5.95836079863326
MIMAT0000256	0.398689149256156	9.43566796289341	1.49140181375891	0.13608942958875	0.675606496099948	-5.97027904487794
MIMAT0004594	0.156617656196592	6.79593137923549	1.48735944136035	0.13715319845638	0.675606496099948	-5.97625195262309
MIMAT0003945	0.204757798396775	6.82289837716528	1.41102168714002	0.158468398137671	0.766410798265828	-6.08601252359304
MI0000433_MIMAT0000414	0.491164255813876	10.9719857184941	1.38193549187886	0.167219909966286	0.794294572339857	-6.12631683952119
MIMAT0000271	0.421679588302323	10.9547637784514	1.36443257777132	0.172658637504026	0.800877606564115	-6.15016694806475
MIMAT0000703	0.206233078209183	10.1851813978168	1.35819841096475	0.174627448047815	0.800877606564115	-6.15858863261155
MIMAT0005898	-0.580170224519922	10.1317989606804	-1.33822790277754	0.181047287269072	0.804057880565526	-6.18530767485756
MIMAT0000088	0.459751571115162	9.32310462928605	1.33724894796998	0.181366439225307	0.804057880565526	-6.18660729424204
MIMAT0000318	0.509221122397466	12.4376211674672	1.27725063994729	0.201733183412158	0.879584651133961	-6.26444780843247
MIMAT0004610	0.172850575792343	7.27465672096321	1.25540289283308	0.20954958355878	0.879584651133961	-6.29190744938167
MIMAT0000510	-0.254178348222958	9.31692454356977	-1.25084352760206	0.211208100521901	0.879584651133961	-6.29757834110383
MIMAT0000449	0.373131478194693	9.38400773534485	1.24348875196831	0.213903469499227	0.879584651133961	-6.30668274991325
MIMAT0000077	0.269533012694181	14.0611367622616	1.23623781092203	0.216585016823757	0.879584651133961	-6.31560618471264
MIMAT0004911	-0.130458597784712	7.37239768179366	-1.23178742794423	0.218242808176096	0.879584651133961	-6.32105730230304
MIMAT0004597	-0.237670143042289	9.4434936149892	-1.19636472640142	0.231764126789182	0.920138175013768	-6.36374589369641
MIMAT0000617	0.358115611672501	9.22153195882445	1.15631226026603	0.247757840837528	0.95689721265029	-6.41051671006765
MIMAT0004484	0.0399443756424285	6.2872139953382	1.11815583005787	0.263699186977237	0.95689721265029	-6.45359517639233
MIMAT0000263	0.421520773308408	8.58507864608016	1.11668243929494	0.26432864491328	0.95689721265029	-6.45522970021127
MIMAT0000450	0.334551665778719	7.84413230632965	1.10495585668218	0.269375416930043	0.95689721265029	-6.46816203015313
MIMAT0005793	-0.214404648433343	10.8584300846003	-1.09868347614502	0.272101866289169	0.95689721265029	-6.47502340769283
MIMAT0003329	0.0773241856670923	6.38183867880525	1.09764956132829	0.272553092751216	0.95689721265029	-6.47615066733239
MIMAT0002813	0.130188526350646	6.597037214716	1.08299346965599	0.279004527382842	0.95689721265029	-6.492016003894
MIMAT0004784	0.30659063337881	8.64145983014377	1.08194689580663	0.279469161567668	0.95689721265029	-6.49314078468129
MIMAT0000762	-0.185596234203008	9.06301336247011	-1.08033362491312	0.280186416150023	0.95689721265029	-6.49487248340622
MIMAT0000250	-0.172849367050918	6.91016090289737	-1.07988358281788	0.280386726444562	0.95689721265029	-6.49535510225931
MIMAT0001341	0.403666686397713	9.05450682423859	1.07922307520339	0.28068088963911	0.95689721265029	-6.49606305788503
MIMAT0002809	0.335043640253343	9.4994096822947	1.06624147906521	0.28650495976442	0.95689721265029	-6.50988943135132
