	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0003221	hsa-miR-557	-0.151354345737414	6.61469699109941	-2.04595673567	0.0409268950191134	0.0961169900542334	-5.31746019183411
MIMAT0000452	hsa-miR-154-5p	-0.201896062337264	6.87093642196019	-2.045359874106	0.0409857353816165	0.0961169900542334	-5.31867423495511
MIMAT0001080	hsa-miR-196b-5p	-0.36515839080132	7.75491457472612	-2.03000989832172	0.042523813870931	0.0988492164543571	-5.34977571973268
MIMAT0000254	hsa-miR-10b-5p	-0.614337668488627	10.0067458259698	-2.01577025835629	0.0439940499299177	0.101377593316767	-5.37841910409054
MIMAT0002821	hsa-miR-181d-5p	0.256299399625124	7.32829702640851	2.00501848371009	0.0451324263099521	0.103104249759804	-5.399913656675
MIMAT0000072	hsa-miR-18a-5p	0.332223006185748	7.29348002878611	1.98486227140338	0.0473335554067976	0.107208480194883	-5.43990103752743
MIMAT0000278	hsa-miR-221-3p	0.342643104742278	7.9340789626865	1.96370984974851	0.0497399514163059	0.111704128180687	-5.4814324770873
MIMAT0000703	hsa-miR-361-5p	-0.22111586039389	9.99961285661738	-1.95319835614932	0.0509734802389391	0.113512371960663	-5.50190643952363
MIMAT0000226	hsa-miR-196a-5p	0.855443873687256	9.02349638019902	1.94741943281557	0.0516624956289975	0.114088011180703	-5.51311586178071
MIMAT0000687	hsa-miR-299-3p	-0.130458350896396	6.50353503252879	-1.93673597661786	0.052956818536532	0.11542595569499	-5.53375160606034
MIMAT0000245	hsa-miR-30d-5p	-0.394366775572329	10.1732007340677	-1.93524577752422	0.0531394965841085	0.11542595569499	-5.53662103785871
MIMAT0000729	hsa-miR-376a-3p	-0.365590954228579	8.08501339728977	-1.92694475639659	0.0541667573335242	0.116700737344585	-5.55256472493104
MIMAT0000280	hsa-miR-223-3p	0.53831147579986	10.157099845418	1.89930574382734	0.0577073828485121	0.123326261732707	-5.60515900955114
MIMAT0000081	hsa-miR-25-3p	0.265137638205761	8.72888990752727	1.89182623919236	0.0586979737501491	0.124439704350316	-5.61926173134967
MIMAT0004784	hsa-miR-455-3p	0.404501330325587	8.45669540356226	1.88246654600227	0.0599574475135426	0.126100980881657	-5.63683154749246
MIMAT0000455	hsa-miR-185-5p	0.24547460068459	9.05166741323934	1.86881938869628	0.061833989002271	0.129023677839384	-5.66229424227792
MIMAT0000084	hsa-miR-27a-3p	-0.293377630126374	13.0427602724224	-1.85386098962613	0.0639464590595973	0.132389153521822	-5.68999155689543
MIMAT0000451	hsa-miR-150-5p	0.657513065385559	10.6639116382438	1.84820221514851	0.0647610066031795	0.133036176355369	-5.70041169863167
MIMAT0004484	hsa-let-7d-3p	-0.0498062931284977	6.24754947099039	-1.83633789597794	0.0664966378930242	0.135550838781934	-5.72215585068434
MIMAT0000087	hsa-miR-30a-5p	-0.586975445652877	10.5765517873591	-1.80115931536762	0.0718695484697671	0.144919388654908	-5.78580917994924
MIMAT0000089	hsa-miR-31-5p	0.31899521820278	7.06823885933918	1.79915393406781	0.0721862615186714	0.144919388654908	-5.78940084735627
MIMAT0002876	hsa-miR-505-3p	0.172872302413354	7.16818269478042	1.79410109391624	0.0729893397511871	0.14542988747417	-5.79843289001397
MIMAT0000094	hsa-miR-95-3p	0.264312856405675	6.96204448267104	1.77915367191234	0.0754079535424707	0.148942967979575	-5.82500356386667
MIMAT0000762	hsa-miR-324-3p	-0.23260042151716	8.99764544798564	-1.7763027772399	0.0758766063292176	0.148942967979575	-5.83004619996444
MIMAT0000685	hsa-miR-34b-5p	0.268133214746064	8.24997394354064	1.73713989783483	0.0825585541966405	0.159911404113233	-5.89850180966347
MIMAT0004605	hsa-miR-129-3p	-0.10336545602757	6.44069923163558	-1.73650224336263	0.0826711787302375	0.159911404113233	-5.89960383456088
