	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0000434	hsa-miR-142-3p	-0.629022237006986	12.056272822484	-1.97024055983292	0.0490170027484128	0.193148395863333	-5.33378704799213
MIMAT0002871	hsa-miR-500a-3p	-0.149937605709595	7.26084231500265	-1.96711750131791	0.0493762816492731	0.193148395863333	-5.33989258140434
MIMAT0000436	hsa-miR-144-3p	-0.500201930898973	7.69038560513332	-1.94625365968467	0.0518336418675195	0.197717616091371	-5.3804340235137
MIMAT0002819	hsa-miR-193b-3p	0.333509557139863	10.550969472606	1.94461464708333	0.0520309516029922	0.197717616091371	-5.38360065139614
MIMAT0004594	hsa-miR-132-5p	0.148098410061349	6.79813084509802	1.93441488734369	0.0532730171298162	0.199586233190579	-5.40324731078285
MIMAT0002888	hsa-miR-532-5p	-0.232794160181641	8.14997393524434	-1.91107677489689	0.0562084809466691	0.207659110164083	-5.44781440772641
MIMAT0004775	hsa-miR-502-3p	-0.160303623930508	7.40018836601387	-1.88536624483616	0.0595971915101649	0.217162369064437	-5.49628911199645
MIMAT0005929	hsa-miR-1275	-0.369783092093296	8.23276729480924	-1.82760119170925	0.0678323241994268	0.243829705906048	-5.60281726433739
MIMAT0000073	hsa-miR-19a-3p	-0.335048514227481	9.55705997532388	-1.81295441465561	0.0700631440974994	0.248490617732464	-5.62930418270506
MIMAT0000681	hsa-miR-29c-3p	0.310148653448977	13.0393530337512	1.79663588051623	0.072619211122161	0.254167238927563	-5.65856449973855
MIMAT0002820	hsa-miR-497-5p	0.29340565634495	9.14199243797994	1.77652852713174	0.0758733124354095	0.258614820198122	-5.6942563597089
MIMAT0003266	hsa-miR-598-3p	0.17824518426827	6.63154747239135	1.77143066609625	0.0767169915187013	0.258614820198122	-5.70324186551328
MIMAT0000461	hsa-miR-195-5p	0.486797157266222	10.5001226122382	1.7708915635822	0.07680665712651	0.258614820198122	-5.70419058670002
MIMAT0004780	hsa-miR-532-3p	-0.133240972584558	7.0433490578227	-1.71189402636873	0.0871482248641604	0.289767847673333	-5.80627832552397
MIMAT0001627	hsa-miR-433-3p	-0.0356194944803008	6.24473593906616	-1.70337031454066	0.0887313075976575	0.291389232357739	-5.82074285340105
MIMAT0004484	hsa-let-7d-3p	0.0437779066454569	6.28860197314315	1.69020633045317	0.0912217163927619	0.291894946992846	-5.84294056543601
MIMAT0000449	hsa-miR-146a-5p	-0.377016051164943	9.39717356527705	-1.69001233607322	0.0912588333020783	0.291894946992846	-5.84326640553715
MIMAT0001412	hsa-miR-18b-5p	-0.210512633270553	7.27921257068748	-1.68523173385423	0.0921773516819513	0.291894946992846	-5.85128431439452
MIMAT0000072	hsa-miR-18a-5p	-0.234105603836818	7.45140591401652	-1.67015412103892	0.0951230650231976	0.294799185122534	-5.87642396583147
MIMAT0000258	hsa-miR-181c-5p	0.269637423646301	7.89699616980322	1.6692048848198	0.0953110147388643	0.294799185122534	-5.87799914648048
MIMAT0003180	hsa-miR-487b-3p	0.155033241648504	6.88110357532765	1.63309411243424	0.10268478204708	0.312685629295768	-5.93725975052012
MIMAT0000686	hsa-miR-34c-5p	0.243927080332099	7.28487812776231	1.62540543677492	0.104311998768147	0.312685629295768	-5.94971079039294
MIMAT0003329	hsa-miR-411-5p	0.0810205201735856	6.38484664699595	1.6135668584729	0.106857510559818	0.312685629295768	-5.96876774648681
MIMAT0000760	hsa-miR-331-3p	0.209547858092367	9.94439368728422	1.61253114553754	0.107082532002584	0.312685629295768	-5.97042836738561
MIMAT0004571	hsa-miR-200b-5p	0.241122651607615	7.53225024055187	1.60931699557458	0.107783239471312	0.312685629295768	-5.97557504513931
MIMAT0003888	hsa-miR-766-3p	-0.0884565515540565	6.94277049074231	-1.60765536411504	0.108146909380491	0.312685629295768	-5.97823173200551
MIMAT0004911	hsa-miR-874-3p	-0.123625818566078	7.37411785321337	-1.57575525351197	0.115318915357486	0.329836897689154	-6.0287049045457
MIMAT0000280	hsa-miR-223-3p	-0.4301052396886	10.3323218872331	-1.56762825340192	0.117204667472669	0.33166427178436	-6.04140257652749
MIMAT0003294	hsa-miR-625-5p	0.293806628931857	7.70981624994468	1.56042781760906	0.118895596425415	0.332907669991162	-6.05259792493906
MIMAT0001536	hsa-miR-429	0.385933597446231	9.75626404336918	1.52658257713266	0.127101482703243	0.352177024990236	-6.10453299224256
