MIMAT,name,logFC.merged,adj.P.Val.merged,TestStatistic.meta,adj.P.Val.meta,same_dir,consensus,curated
MIMAT0000073,hsa-miR-19a-3p,-0.2536621,6.573e-01,-1.128372,0.70174, TRUE,FALSE,white
MIMAT0001631,hsa-miR-451,-0.5964099,6.573e-01,-1.768624,0.47320, TRUE,FALSE,yellow
MIMAT0004504,hsa-miR-31-3p,-0.2314833,6.713e-01,-1.734932,0.48240, TRUE,FALSE,white
MIMAT0000431,hsa-miR-140-5p,-0.2272852,6.766e-01,-1.802841,0.47320, TRUE,FALSE,white
MIMAT0000443,hsa-miR-125a-5p, 0.2342940,6.766e-01, 1.605700,0.57057, TRUE,FALSE,white
MIMAT0004911,hsa-miR-874-3p,-0.1024732,6.766e-01,-1.154297,0.70174, TRUE,FALSE,white
MIMAT0005901,hsa-miR-1249-3p, 0.1481864,6.766e-01,-1.034824,0.70174,FALSE,FALSE,white
MIMAT0000456,hsa-miR-186-5p,-0.1449170,6.847e-01,-1.653193,0.54265, TRUE,FALSE,white
MIMAT0003308,hsa-miR-638,-0.2904898,6.847e-01, 0.740810,0.79766,FALSE,FALSE,rejected
MIMAT0000226,hsa-miR-196a-5p, 0.5696292,6.901e-01, 1.190179,0.70174, TRUE,FALSE,white
MIMAT0000457,hsa-miR-188-5p,-0.1428945,6.901e-01, 0.106251,0.97607,FALSE,FALSE,white
MIMAT0004594,hsa-miR-132-5p, 0.0976249,6.901e-01, 1.556604,0.57401, TRUE,FALSE,white
MIMAT0000080,hsa-miR-24-3p, 0.1387450,7.149e-01,-1.063635,0.70174,FALSE,FALSE,white
MIMAT0000419,hsa-miR-27b-3p, 0.2107398,7.252e-01, 0.636164,0.80726, TRUE,FALSE,white
MIMAT0000445,hsa-miR-126-3p,-0.2942356,7.252e-01,-1.217743,0.70174, TRUE,FALSE,white
MIMAT0000736,hsa-miR-381-3p,-0.1654850,7.252e-01,-1.558014,0.57401, TRUE,FALSE,white
MIMAT0000760,hsa-miR-331-3p, 0.1580126,7.252e-01, 0.409354,0.90603, TRUE,FALSE,white
MIMAT0000763,hsa-miR-338-3p, 0.3288066,7.252e-01, 0.839573,0.78744, TRUE,FALSE,white
