MIMAT	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0005954	hsa-miR-720	-4.836e-01	8.367e-02	 0.14924	0.95722	FALSE	FALSE	NA
MIMAT0000437	hsa-miR-145-5p	-5.972e-01	8.778e-02	-1.87150	0.37586	 TRUE	FALSE	white
MIMAT0001627	hsa-miR-433-3p	-5.501e-02	8.857e-02	-2.29282	0.32181	 TRUE	FALSE	white
MIMAT0000445	hsa-miR-126-3p	-6.612e-01	9.194e-02	-2.21454	0.33964	 TRUE	FALSE	white
MIMAT0000065	hsa-let-7d-5p	 5.574e-01	9.419e-02	 1.47193	0.46083	 TRUE	FALSE	white
MIMAT0000081	hsa-miR-25-3p	 3.442e-01	9.419e-02	 1.39089	0.48909	 TRUE	FALSE	white
MIMAT0000082	hsa-miR-26a-5p	-4.079e-01	9.470e-02	-1.85039	0.37586	 TRUE	FALSE	white
MIMAT0000691	hsa-miR-130b-3p	 4.284e-01	9.470e-02	 0.86887	0.64719	 TRUE	FALSE	white
MIMAT0004614	hsa-miR-193a-5p	-3.825e-01	9.470e-02	-3.26475	0.06514	 TRUE	FALSE	white
MIMAT0000415	hsa-let-7i-5p	 3.628e-01	1.021e-01	-0.24098	0.94837	FALSE	FALSE	white
MIMAT0000075	hsa-miR-20a-5p	 5.917e-01	1.034e-01	 1.23015	0.54149	 TRUE	FALSE	white
MIMAT0000243	hsa-miR-148a-3p	-6.240e-01	1.034e-01	-2.02224	0.37586	 TRUE	FALSE	white
MIMAT0000254	hsa-miR-10b-5p	-7.007e-01	1.034e-01	-1.61287	0.41780	 TRUE	FALSE	white
MIMAT0000263	hsa-miR-199b-5p	-6.542e-01	1.034e-01	-1.82018	0.37586	 TRUE	FALSE	white
MIMAT0000275	hsa-miR-218-5p	-4.242e-01	1.034e-01	-2.45794	0.28484	 TRUE	FALSE	white
MIMAT0000423	hsa-miR-125b-5p	-5.862e-01	1.034e-01	-1.98654	0.37586	 TRUE	FALSE	white
MIMAT0000436	hsa-miR-144-3p	-6.230e-01	1.034e-01	-1.76504	0.38845	 TRUE	FALSE	white
MIMAT0000459	hsa-miR-193a-3p	-3.471e-01	1.034e-01	-2.58642	0.24628	 TRUE	FALSE	white
MIMAT0000680	hsa-miR-106b-5p	 3.279e-01	1.034e-01	 1.11021	0.58943	 TRUE	FALSE	white
MIMAT0000686	hsa-miR-34c-5p	-3.721e-01	1.034e-01	-2.19133	0.33964	 TRUE	FALSE	white
MIMAT0000720	hsa-miR-376c-3p	-4.599e-01	1.034e-01	-1.82219	0.37586	 TRUE	FALSE	white
MIMAT0000729	hsa-miR-376a-3p	-4.429e-01	1.034e-01	-1.91267	0.37586	 TRUE	FALSE	white
MIMAT0000730	hsa-miR-377-3p	-4.688e-01	1.034e-01	-1.89194	0.37586	 TRUE	FALSE	white
MIMAT0000736	hsa-miR-381-3p	-3.302e-01	1.034e-01	-2.21674	0.33964	 TRUE	FALSE	white
MIMAT0000753	hsa-miR-342-3p	-5.982e-01	1.034e-01	-1.81474	0.37586	 TRUE	FALSE	white
MIMAT0000761	hsa-miR-324-5p	 2.937e-01	1.034e-01	 1.16196	0.57187	 TRUE	FALSE	white
MIMAT0003150	hsa-miR-455-5p	 2.637e-01	1.034e-01	 0.92018	0.64117	 TRUE	FALSE	white
MIMAT0003308	hsa-miR-638	-5.341e-01	1.034e-01	 0.23431	0.94837	FALSE	FALSE	rejected
MIMAT0004774	hsa-miR-501-3p	 1.608e-01	1.034e-01	 1.86800	0.37586	 TRUE	FALSE	white
MIMAT0004814	hsa-miR-654-3p	-2.753e-01	1.034e-01	-2.02951	0.37586	 TRUE	FALSE	white
MIMAT0005901	hsa-miR-1249-3p	 2.717e-01	1.034e-01	 0.52981	0.85857	 TRUE	FALSE	white
MIMAT0005911	hsa-miR-1260	-3.793e-01	1.034e-01	-0.14214	0.95812	 TRUE	FALSE	rejected
MIMAT0005949	hsa-miR-664	-1.362e-01	1.034e-01	-1.96070	0.37586	 TRUE	FALSE	rejected
MIMAT0000452	hsa-miR-154-5p	-2.213e-01	1.038e-01	-2.07548	0.37586	 TRUE	FALSE	white
MIMAT0000104	hsa-miR-107	 3.452e-01	1.055e-01	 0.73595	0.74161	 TRUE	FALSE	white
MIMAT0000420	hsa-miR-30b-5p	-4.087e-01	1.065e-01	-1.39361	0.48909	 TRUE	FALSE	white
MIMAT0000461	hsa-miR-195-5p	-6.542e-01	1.065e-01	-1.75152	0.38845	 TRUE	FALSE	white
MIMAT0000685	hsa-miR-34b-5p	-3.502e-01	1.065e-01	-2.34310	0.29811	 TRUE	FALSE	white
MIMAT0002820	hsa-miR-497-5p	-3.961e-01	1.065e-01	-2.37320	0.29207	 TRUE	FALSE	white
MIMAT0002888	hsa-miR-532-5p	 2.820e-01	1.065e-01	 0.83369	0.67409	 TRUE	FALSE	white
MIMAT0000084	hsa-miR-27a-3p	 3.538e-01	1.078e-01	-0.16086	0.95586	FALSE	FALSE	white
MIMAT0004557	hsa-miR-34a-3p	-1.494e-01	1.078e-01	-1.99165	0.37586	 TRUE	FALSE	white
