MIMAT	name	logFC.merged	adj.P.Val.merged	TestStatistic.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0003340	hsa-miR-542-5p	-0.213385	2.753e-01	-1.488533	3.825e-01	 TRUE	FALSE	white
MIMAT0003294	hsa-miR-625	 0.281673	2.787e-01	 1.536783	3.716e-01	 TRUE	FALSE	white
MIMAT0000449	hsa-miR-146a	-0.328186	2.901e-01	-1.421359	4.129e-01	 TRUE	FALSE	white
MIMAT0000681	hsa-miR-29c	 0.252535	2.924e-01	 2.374422	1.025e-01	 TRUE	FALSE	white
MIMAT0003326	hsa-miR-663	 0.291060	2.968e-01	 1.248698	4.861e-01	 TRUE	FALSE	rejected
MIMAT0000087	hsa-miR-30a	 0.450383	3.035e-01	 0.954446	6.150e-01	 TRUE	FALSE	white
MIMAT0003239	hsa-miR-574-3p	-0.203873	3.066e-01	-0.539738	7.871e-01	 TRUE	FALSE	white
MIMAT0004599	hsa-miR-143*	-0.086724	3.066e-01	-1.375454	4.364e-01	 TRUE	FALSE	white
MIMAT0004748	hsa-miR-423-5p	 0.124555	3.107e-01	 1.074926	5.606e-01	 TRUE	FALSE	white
MIMAT0000088	hsa-miR-30a*	 0.354358	3.172e-01	 0.994936	5.990e-01	 TRUE	FALSE	white
MIMAT0002817	hsa-miR-495	-0.093946	3.253e-01	-1.138694	5.255e-01	 TRUE	FALSE	white
MIMAT0000456	hsa-miR-186	-0.156323	3.255e-01	-1.251462	4.861e-01	 TRUE	FALSE	white
MIMAT0000318	hsa-miR-200b	 0.398592	3.324e-01	 1.388257	4.304e-01	 TRUE	FALSE	white
MIMAT0002173	hsa-miR-483-3p	-0.091765	3.371e-01	-1.587375	3.518e-01	 TRUE	FALSE	white
MIMAT0003150	hsa-miR-455-5p	-0.150253	3.434e-01	-1.354530	4.448e-01	 TRUE	FALSE	white
MIMAT0003180	hsa-miR-487b	-0.125013	3.503e-01	-1.193077	4.995e-01	 TRUE	FALSE	white
MIMAT0000084	hsa-miR-27a	 0.202781	3.543e-01	-0.384373	8.321e-01	FALSE	FALSE	white
MIMAT0004610	hsa-miR-150*	 0.131912	3.556e-01	 1.079857	5.606e-01	 TRUE	FALSE	white
MIMAT0000416	hsa-miR-1	-0.175099	3.572e-01	-1.642679	3.219e-01	 TRUE	FALSE	white
MIMAT0000438	hsa-miR-152	-0.192173	3.646e-01	-0.999764	5.988e-01	 TRUE	FALSE	white
MIMAT0000763	hsa-miR-338-3p	 0.360663	3.646e-01	 1.014727	5.894e-01	 TRUE	FALSE	white
MIMAT0005792	hsa-miR-320b	 0.219775	3.646e-01	-0.007284	9.942e-01	FALSE	FALSE	rejected
MIMAT0000703	hsa-miR-361-5p	 0.142715	3.727e-01	 0.642592	7.528e-01	 TRUE	FALSE	white
MIMAT0000096	hsa-miR-98	 0.320777	3.734e-01	 1.494950	3.818e-01	 TRUE	FALSE	white
MIMAT0000067	hsa-let-7f	 0.416848	3.741e-01	 1.219711	4.895e-01	 TRUE	FALSE	white
MIMAT0004955	hsa-miR-374b	-0.163589	3.876e-01	-0.922020	6.365e-01	 TRUE	FALSE	white
MIMAT0000263	hsa-miR-199b-5p	-0.314388	3.949e-01	-0.776438	6.805e-01	 TRUE	FALSE	white
MIMAT0001536	hsa-miR-429	 0.301440	4.006e-01	 1.249925	4.861e-01	 TRUE	FALSE	white
MIMAT0000424	hsa-miR-128	 0.182589	4.049e-01	 1.023347	5.894e-01	 TRUE	FALSE	white
MIMAT0006764	hsa-miR-320d	 0.183948	4.054e-01	 0.064110	9.815e-01	 TRUE	FALSE	rejected
MIMAT0000418	hsa-miR-23b	 0.197688	4.151e-01	 0.438776	8.270e-01	 TRUE	FALSE	white
MIMAT0001341	hsa-miR-424	-0.306997	4.329e-01	-0.858540	6.618e-01	 TRUE	FALSE	white
MIMAT0003389	hsa-miR-542-3p	-0.159866	4.329e-01	-0.872803	6.618e-01	 TRUE	FALSE	white
MIMAT0004568	hsa-miR-221*	-0.129712	4.329e-01	-1.151812	5.183e-01	 TRUE	FALSE	white
MIMAT0004776	hsa-miR-505*	-0.090674	4.340e-01	-1.034862	5.839e-01	 TRUE	FALSE	white
MIMAT0000682	hsa-miR-200a	 0.306752	4.646e-01	 1.169020	5.117e-01	 TRUE	FALSE	white
MIMAT0004775	hsa-miR-502-3p	-0.089970	4.704e-01	-1.194895	4.995e-01	 TRUE	FALSE	white
MIMAT0000727	hsa-miR-374a	-0.227418	4.797e-01	-0.807293	6.805e-01	 TRUE	FALSE	white
MIMAT0003233	hsa-miR-551b	-0.190914	4.908e-01	-0.958108	6.150e-01	 TRUE	FALSE	white
MIMAT0000064	hsa-let-7c	 0.158198	5.006e-01	-0.428170	8.310e-01	FALSE	FALSE	white
MIMAT0004911	hsa-miR-874	-0.078629	5.006e-01	-1.172918	5.117e-01	 TRUE	FALSE	white
MIMAT0000692	hsa-miR-30e	-0.144522	5.018e-01	-0.761942	6.859e-01	 TRUE	FALSE	white
MIMAT0000257	hsa-miR-181b	 0.179425	5.038e-01	 0.368195	8.389e-01	 TRUE	FALSE	white
MIMAT0000447	hsa-miR-134	 0.102874	5.038e-01	 0.981374	6.072e-01	 TRUE	FALSE	white
MIMAT0004550	hsa-miR-30c-2*	 0.139263	5.038e-01	 0.797058	6.805e-01	 TRUE	FALSE	white
MIMAT0000073	hsa-miR-19a	-0.178774	5.124e-01	-0.559764	7.852e-01	 TRUE	FALSE	white
MIMAT0000419	hsa-miR-27b	 0.168596	5.277e-01	 0.509221	7.957e-01	 TRUE	FALSE	white
MIMAT0000461	hsa-miR-195	-0.258777	5.277e-01	-0.611551	7.717e-01	 TRUE	FALSE	white
MIMAT0000688	hsa-miR-301a	 0.208077	5.277e-01	 0.652581	7.513e-01	 TRUE	FALSE	white
MIMAT0003338	hsa-miR-660	-0.166770	5.367e-01	-0.595467	7.740e-01	 TRUE	FALSE	white
MIMAT0003329	hsa-miR-411	-0.045831	5.397e-01	-0.687375	7.295e-01	 TRUE	FALSE	white
MIMAT0003221	hsa-miR-557	 0.063848	5.406e-01	 0.829217	6.724e-01	 TRUE	FALSE	purple
MIMAT0004780	hsa-miR-532-3p	-0.070144	5.406e-01	-0.925700	6.365e-01	 TRUE	FALSE	white
MIMAT0004784	hsa-miR-455-3p	-0.189624	5.406e-01	-0.844813	6.662e-01	 TRUE	FALSE	white
MIMAT0003888	hsa-miR-766	-0.049183	5.424e-01	-0.893996	6.541e-01	 TRUE	FALSE	purple
MIMAT0002174	hsa-miR-484	 0.058066	5.514e-01	 0.669332	7.396e-01	 TRUE	FALSE	rejected
MIMAT0001618	hsa-miR-191*	 0.034213	6.020e-01	-0.684538	7.295e-01	FALSE	FALSE	white
MIMAT0004571	hsa-miR-200b*	 0.121034	6.020e-01	 0.913641	6.400e-01	 TRUE	FALSE	white
MIMAT0000076	hsa-miR-21	 0.160109	6.207e-01	-0.025285	9.873e-01	FALSE	FALSE	white
MIMAT0002805	hsa-miR-489	 0.101262	6.240e-01	 1.158681	5.165e-01	 TRUE	FALSE	white
MIMAT0000705	hsa-miR-362-5p	-0.092866	6.425e-01	-0.848530	6.662e-01	 TRUE	FALSE	white
MIMAT0003258	hsa-miR-590-5p	-0.172416	6.425e-01	-0.621085	7.686e-01	 TRUE	FALSE	white
MIMAT0002871	hsa-miR-500a*	-0.053863	6.669e-01	-0.776858	6.805e-01	 TRUE	FALSE	white
MIMAT0005865	hsa-miR-1202	 0.232625	6.669e-01	 0.054164	9.815e-01	 TRUE	FALSE	rejected
MIMAT0000457	hsa-miR-188-5p	-0.076798	6.901e-01	 0.412996	8.317e-01	FALSE	FALSE	white
MIMAT0000231	hsa-miR-199a-5p	-0.139422	6.943e-01	-0.785640	6.805e-01	 TRUE	FALSE	white
MIMAT0000255	hsa-miR-34a	 0.094096	6.943e-01	-1.703184	2.907e-01	FALSE	FALSE	white
MIMAT0004682	hsa-miR-361-3p	-0.076489	6.973e-01	-0.862099	6.618e-01	 TRUE	FALSE	white
MIMAT0004683	hsa-miR-362-3p	-0.085860	6.973e-01	-0.572169	7.817e-01	 TRUE	FALSE	white
MIMAT0005593	hsa-miR-1238	-0.027964	6.973e-01	-2.130894	1.467e-01	 TRUE	FALSE	rejected
MIMAT0004982	hsa-miR-939	-0.093725	7.050e-01	 0.870869	6.618e-01	FALSE	FALSE	rejected
MIMAT0000765	hsa-miR-335	-0.107086	7.211e-01	-0.732714	7.009e-01	 TRUE	FALSE	white
MIMAT0000094	hsa-miR-95	-0.090904	7.271e-01	-0.436893	8.270e-01	 TRUE	FALSE	white
MIMAT0005929	hsa-miR-1275	-0.119832	7.310e-01	-0.522352	7.957e-01	 TRUE	FALSE	rejected
MIMAT0000646	hsa-miR-155	-0.135182	7.416e-01	-0.544478	7.871e-01	 TRUE	FALSE	white
MIMAT0004774	hsa-miR-501-3p	 0.037058	7.473e-01	 0.481057	7.986e-01	 TRUE	FALSE	white
MIMAT0003322	hsa-miR-652	 0.074773	7.513e-01	 0.491075	7.986e-01	 TRUE	FALSE	white
MIMAT0000254	hsa-miR-10b	-0.154772	7.540e-01	-0.213250	9.144e-01	 TRUE	FALSE	white
MIMAT0000685	hsa-miR-34b*	-0.081036	7.540e-01	-0.398426	8.317e-01	 TRUE	FALSE	white
MIMAT0003885	hsa-miR-454	 0.104082	7.540e-01	 0.540098	7.871e-01	 TRUE	FALSE	white
MIMAT0000100	hsa-miR-29b	-0.125702	7.579e-01	 0.041662	9.815e-01	FALSE	FALSE	white
MIMAT0000271	hsa-miR-214	 0.114989	7.658e-01	-0.345141	8.479e-01	FALSE	FALSE	white
MIMAT0000510	hsa-miR-320a	 0.077325	7.671e-01	-0.290962	8.832e-01	FALSE	FALSE	rejected
MIMAT0004514	hsa-miR-29b-1*	-0.048045	7.671e-01	-0.507792	7.957e-01	 TRUE	FALSE	white
MIMAT0004589	hsa-miR-30b*	 0.038918	7.671e-01	 0.483286	7.986e-01	 TRUE	FALSE	white
MIMAT0004614	hsa-miR-193a-5p	-0.074953	7.671e-01	-1.243203	4.861e-01	 TRUE	FALSE	white
