MIMAT	name	logFC.merged	adj.P.Val.merged	logFC.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0004606	hsa-miR-136*	 0.0996248	4.696e-01	 0.9669597	0.634630	 TRUE	FALSE	white
MIMAT0004614	hsa-miR-193a-5p	-0.1811719	4.696e-01	-2.0802891	0.188800	 TRUE	FALSE	white
MIMAT0000443	hsa-miR-125a-5p	 0.2161464	4.706e-01	 1.3785487	0.429779	 TRUE	FALSE	white
MIMAT0000692	hsa-miR-30e	-0.1721375	4.813e-01	-1.3596630	0.431814	 TRUE	FALSE	white
MIMAT0000269	hsa-miR-212	 0.0635163	4.911e-01	 1.4876715	0.383145	 TRUE	FALSE	white
MIMAT0004602	hsa-miR-125a-3p	-0.1696748	4.911e-01	-0.0163800	0.994408	 TRUE	FALSE	white
MIMAT0000255	hsa-miR-34a	 0.1612746	5.123e-01	-1.8409564	0.249386	FALSE	FALSE	white
MIMAT0000278	hsa-miR-221	-0.1947854	5.205e-01	-1.9608438	0.217585	 TRUE	FALSE	white
MIMAT0000281	hsa-miR-224	-0.2842925	5.260e-01	-1.9260170	0.224625	 TRUE	FALSE	white
MIMAT0000416	hsa-miR-1	 0.1484289	5.273e-01	 0.7667681	0.718614	 TRUE	FALSE	white
MIMAT0000707	hsa-miR-363	 0.3000581	5.273e-01	 1.2848957	0.450376	 TRUE	FALSE	white
MIMAT0002171	hsa-miR-410	 0.0981371	5.273e-01	 0.7677727	0.718614	 TRUE	FALSE	white
MIMAT0004587	hsa-miR-23b*	 0.0657801	5.273e-01	 1.0829285	0.561905	 TRUE	FALSE	white
MIMAT0000100	hsa-miR-29b	 0.2544711	5.354e-01	 1.2753656	0.450376	 TRUE	FALSE	white
MIMAT0000250	hsa-miR-139-5p	-0.1116692	5.527e-01	-2.1178892	0.181861	 TRUE	FALSE	white
MIMAT0004603	hsa-miR-125b-2*	-0.1050180	5.863e-01	-1.8730774	0.238843	 TRUE	FALSE	white
MIMAT0000426	hsa-miR-132	 0.0949459	6.025e-01	 0.7513047	0.721538	 TRUE	FALSE	white
MIMAT0001631	hsa-miR-451	-0.4274048	6.025e-01	-1.4399703	0.398670	 TRUE	FALSE	yellow
MIMAT0004514	hsa-miR-29b-1*	 0.0921465	6.025e-01	 0.8059287	0.698722	 TRUE	FALSE	white
MIMAT0000275	hsa-miR-218	 0.1541648	6.040e-01	 0.5089626	0.828914	 TRUE	FALSE	white
MIMAT0005593	hsa-miR-1238	-0.0416923	6.040e-01	-2.7460589	0.084442	 TRUE	FALSE	rejected
MIMAT0000080	hsa-miR-24	 0.1082083	6.086e-01	-1.7037142	0.305501	FALSE	FALSE	white
MIMAT0004774	hsa-miR-501-3p	-0.0621645	6.169e-01	-0.6976796	0.754665	 TRUE	FALSE	white
MIMAT0003240	hsa-miR-575	-0.1948639	6.227e-01	 0.5624289	0.793467	FALSE	FALSE	rejected
MIMAT0000759	hsa-miR-148b	 0.1177139	6.260e-01	 0.3091498	0.886275	 TRUE	FALSE	white
MIMAT0000085	hsa-miR-28-5p	 0.1480530	6.376e-01	 0.3201708	0.886275	 TRUE	FALSE	white
MIMAT0000685	hsa-miR-34b*	 0.1343530	6.376e-01	 0.4519375	0.829559	 TRUE	FALSE	white
MIMAT0002874	hsa-miR-503	-0.1201933	6.376e-01	-0.9565639	0.634630	 TRUE	FALSE	white
