MIMAT	name	logFC.merged	adj.P.Val.merged	logFC.meta	adj.P.Val.meta	same_dir	consensus	curated
MIMAT0000455	hsa-miR-185	-0.0902593	7.413e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000442	hsa-miR-9*	 0.1449020	7.517e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000101	hsa-miR-103	 0.0917950	7.526e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003340	hsa-miR-542-5p	-0.0984943	7.526e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004614	hsa-miR-193a-5p	-0.1004218	7.526e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004982	hsa-miR-939	 0.0989601	7.526e-01	 0.000	1.00	FALSE	FALSE	rejected
MIMAT0002888	hsa-miR-532-5p	-0.0809876	7.586e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000419	hsa-miR-27b	-0.1172187	7.633e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000756	hsa-miR-326	-0.0478793	7.678e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000245	hsa-miR-30d	-0.1295416	7.691e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0002809	hsa-miR-146b-5p	 0.1463355	7.691e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000243	hsa-miR-148a	-0.1575637	7.734e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000450	hsa-miR-149	-0.1372022	7.734e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004780	hsa-miR-532-3p	-0.0473441	7.734e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000617	hsa-miR-200c	 0.1363671	7.755e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0002876	hsa-miR-505	-0.0527935	7.755e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0006764	hsa-miR-320d	-0.0920478	7.755e-01	 0.000	1.00	FALSE	FALSE	rejected
MIMAT0001413	hsa-miR-20b	 0.1304646	7.769e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000755	hsa-miR-323-3p	 0.0168865	7.801e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0002805	hsa-miR-489	-0.0753694	7.804e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003322	hsa-miR-652	-0.0762253	7.804e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000069	hsa-miR-16	-0.1782409	7.829e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000077	hsa-miR-22	 0.0877199	7.829e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0000078	hsa-miR-23a	 0.0909547	7.829e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0001536	hsa-miR-429	-0.1415324	7.829e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0003266	hsa-miR-598	-0.0560773	7.829e-01	 0.000	1.00	FALSE	FALSE	rejected
MIMAT0000432	hsa-miR-141	 0.1415411	7.879e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0004494	hsa-miR-21*	 0.1142258	7.879e-01	 0.000	1.00	FALSE	FALSE	white
MIMAT0005792	hsa-miR-320b	-0.0899427	7.879e-01	 0.000	1.00	FALSE	FALSE	rejected
