	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0000765	-0.603701648920136	7.26570044891902	-3.06907774963353	0.00218396859604031	0.00936992978301166	-2.71544133042047
MIMAT0000449	0.69960494047169	9.11792193528796	2.98090832550467	0.00291815267860817	0.0123210890874567	-2.97979265924514
MIMAT0000436	-0.795989611023077	7.74148883042989	-2.93334376033998	0.00340195241826349	0.0141393647384076	-3.11923829173958
MIMAT0001631	-1.28998174915283	12.092034928533	-2.90778479246761	0.00369111259210676	0.0151051684538523	-3.19325351734211
MIMAT0003308	-0.675532946752895	10.0675873432584	-2.87859980655634	0.00404852654246011	0.0163167887923392	-3.2769855623538
MIMAT0004571	0.441029824097561	7.36055586811062	2.86898246065207	0.00417302095969152	0.0165675160489246	-3.30439475814734
MIMAT0000093	0.405543915550386	10.3025912387197	2.82803169899604	0.00474296617255216	0.0185533676749834	-3.42008720014713
MIMAT0000267	0.776846191263633	9.54433905149133	2.76679378961831	0.00572743417696382	0.0220796737836576	-3.59002192619303
MIMAT0005898	0.885873862549578	9.89895245082938	2.73341180139848	0.00633853733361803	0.0240864418677485	-3.68110528482187
MIMAT0004795	0.534643368836951	8.79199280335803	2.72711830382404	0.00646012180426558	0.024152289739863	-3.69815451984016
MIMAT0000424	0.410948789494737	7.78269033710522	2.72317027840066	0.00653746188447419	0.024152289739863	-3.70882994501031
MIMAT0000077	-0.457085604202495	13.792238789432	-2.71637554770088	0.00667252148647066	0.024313571443852	-3.72716696290953
MIMAT0000070	0.485990603408714	8.80970641251732	2.69859574673487	0.00703789163873535	0.0252909179497173	-3.77493476734825
MIMAT0002174	0.178779313598491	6.7580189362258	2.69420253136176	0.00713089791815336	0.0252909179497173	-3.78668984412975
MIMAT0000257	0.481805616382491	8.77442131791366	2.6746379027359	0.00755864108413384	0.0264552437944684	-3.83880915806725
MIMAT0000281	-0.740764306280417	7.31771812605145	-2.64316050609598	0.0082953096678618	0.0286565243071589	-3.92187355221814
MIMAT0000227	-0.417105707415797	7.85346290077302	-2.59970346549933	0.00941790275318618	0.0321174632352247	-4.03494880725652
MIMAT0000271	-0.577252935968285	10.8486434352814	-2.57962064384754	0.0099810826061842	0.0336071895347468	-4.08657647646422
MIMAT0004683	0.334489913246435	7.38694860249752	2.5714392809568	0.0102189895423817	0.033978140228419	-4.10749481353859
MIMAT0002809	0.614773671733767	9.24596576984793	2.53544031990273	0.011326911064961	0.037197016583699	-4.19875507712108
MIMAT0003322	-0.338397056835132	7.52636043303402	-2.49342529861544	0.0127539722111145	0.0413726415628835	-4.30365263293584
MIMAT0000423	-0.586866409284418	12.9477489402412	-2.46886738696636	0.0136599233205988	0.043777585581678	-4.36416032871349
MIMAT0000733	-0.348740452986315	7.30904600741099	-2.46424336004346	0.0138367325859392	0.0438163198554743	-4.37548688863188
MIMAT0000418	-0.413117088827517	10.1739787814216	-2.45516448922603	0.0141897756109641	0.0444056507354877	-4.39766429745783
MIMAT0004780	0.194259020668824	6.95052906864633	2.43603121871352	0.0149599479755952	0.0462714669942827	-4.44413609834266
MIMAT0000088	-0.66740656902984	9.2067756333507	-2.38894650785425	0.0170142149524762	0.0513962699768322	-4.55696096404175
MIMAT0004955	0.317317153607802	7.4168399789447	2.38417276073797	0.0172357208400342	0.0513962699768322	-4.56827782203177
MIMAT0000461	-0.70854988087167	10.4303946556959	-2.38354864069606	0.0172648668804633	0.0513962699768322	-4.56975572775837
MIMAT0000086	-0.344477168659633	13.4463282436253	-2.37855296537183	0.0174997254676327	0.0513962699768322	-4.58157155948345
MIMAT0000688	0.522491884826485	8.95252418760201	2.37267564319509	0.017779617977896	0.0513962699768322	-4.59544116189905
MIMAT0000510	-0.360511358005094	9.2488714676048	-2.36980485267778	0.0179177538441266	0.0513962699768322	-4.6022034144694
