	logFC	AveExpr	t	P.Value	adj.P.Val	B
MIMAT0004951	-0.150679758935672	6.77522139251739	-1.2495677336813	0.21167403987994	0.4398851141255	-6.44642645814131
MIMAT0002874	0.168014822914301	7.21375875045443	1.23513904241809	0.216993625758343	0.447444220555962	-6.4642512271126
MIMAT0000447	0.130040768903762	7.19724017945421	1.20831562526821	0.227137444644151	0.464758155964186	-6.49683914298922
MIMAT0004695	-0.121141407410026	6.90071992896926	-1.19660162952144	0.231671916921243	0.470417785504203	-6.5108465752055
MIMAT0000279	-0.289740497332984	8.11767985844402	-1.18430139620718	0.236502195122018	0.476587756836793	-6.52540846244413
MIMAT0004514	-0.111651292132445	6.94924675742882	-1.1555635439577	0.248064155739671	0.496128311479341	-6.55884515356557
MIMAT0003299	-0.141833019607874	6.81860391731304	-1.13882713230156	0.254977259476356	0.505984527658912	-6.57794038711987
MIMAT0000420	-0.209154554368223	9.63143104117816	-1.1344751133189	0.25679665877426	0.505984527658912	-6.58286022755123
MIMAT0003163	-0.0708969400042658	6.56376257805467	-1.12347501173412	0.261435506064694	0.511337092744181	-6.59521172761429
MIMAT0000687_MIMAT0002890	-0.136028560445199	6.89480939690604	-1.11737228577383	0.264033947557358	0.512649854381439	-6.6020123868732
MIMAT0000418	0.194848599670763	10.2689957868833	1.1105815049017	0.266946247965436	0.514548564918883	-6.60953632875272
MIMAT0000737	-0.0947392107229454	6.77471339297345	-1.09128454417222	0.275342377954422	0.526914190905585	-6.63066677409648
MIMAT0004697	0.20242293041062	8.86422308387384	1.07823270189764	0.281122496001799	0.532578242254368	-6.64474912629332
MIMAT0004571	-0.166151406359701	7.53105243784802	-1.07558171142505	0.282306511871676	0.532578242254368	-6.64758875932565
MIMAT0000078	0.1800783119195	13.5064216788554	1.06824868654828	0.285599284172481	0.532583806530388	-6.65540724811805
MIMAT0002876	-0.0986939952065873	7.25986903076318	-1.06666491182043	0.286313850879118	0.532583806530388	-6.65708886102668
MIMAT0003221	0.0751089509613516	6.64751970155349	1.03224651095549	0.30214149546171	0.558122484672325	-6.69301820887307
MIMAT0005949	-0.0569891089952677	6.61712841591243	-1.01630146421694	0.309667911866605	0.567153713922151	-6.70926446947621
MIMAT0000068	0.206731013038017	11.99262302658	1.01288846742753	0.311294895611406	0.567153713922151	-6.71270913019815
MIMAT0000086	-0.136916687749865	13.6716643395032	-0.989846129993946	0.322426669684498	0.583438735619567	-6.73566249611045
MIMAT0002821	-0.13407117991408	7.46052484514879	-0.984514691638083	0.325038880653982	0.58419150171594	-6.74089821738741
MIMAT0000271	0.222204074146064	10.9547637784514	0.973054659886399	0.330700411204021	0.590144113224362	-6.75205692516277
MIMAT0000617	0.221427240005227	9.22153195882445	0.966053210559554	0.334190540240809	0.590144113224362	-6.7588100793049
MIMAT0001080	0.179394089477596	7.83320990686282	0.963720749705662	0.335358501481235	0.590144113224362	-6.76104900906716
